Product Id,Product Name,Price,Stock,Category,Brand,Weight,Color,Manufacturer,Release Date,Rating,Attribute 11,Attribute 12,Attribute 13,Attribute 14,Attribute 15,Attribute 16,Attribute 17,Attribute 18,Attribute 19,Attribute 20,Attribute 21,Attribute 22,Attribute 23,Attribute 24,Attribute 25,Attribute 26,Attribute 27,Attribute 28,Attribute 29,Attribute 30
855656,over,4744.61,187,site,Campbell-Chase,38.82 kg,Chocolate,"Gray, Allen and Rice",2022-08-31,3.5,TV,compare,into,election,ground,return,necessary,television,yeah,fight,within,analysis,own,finally,road,participant,crime,serve,view,wonder
196470,military,886.65,283,in,Ramirez Ltd,35.79 kg,Gold,"Jones, Johnson and Madden",2021-11-02,1.1,culture,without,owner,heavy,remember,matter,experience,beat,tend,realize,wish,process,senior,long,year,many,would,game,give,among
301899,morning,4963.46,6,house,"Skinner, Miller and Bass",8.85 kg,LightYellow,"Strickland, Morris and Obrien",2023-05-07,3.0,trade,kid,recent,two,population,base,return,force,require,again,war,week,can,firm,easy,usually,act,cause,reason,rule
123642,whatever,6222.74,88,stay,Simmons-Shields,17.83 kg,Silver,"Pierce, Johnson and Faulkner",2022-09-13,1.8,travel,such,own,have,actually,ball,owner,government,indeed,allow,seem,possible,already,discuss,any,top,visit,want,Mrs,could
131261,indicate,1870.83,367,party,Underwood LLC,33.14 kg,RosyBrown,Dennis Group,2023-06-01,4.5,pass,ahead,live,her,design,start,nor,interview,official,then,account,compare,hundred,ready,term,see,marriage,ahead,yeah,lot
234439,in,101.86,43,degree,"Blevins, Castaneda and Garza",33.6 kg,LightCoral,Hale Group,2022-09-27,4.3,book,participant,Congress,mention,protect,certainly,red,son,indicate,south,policy,effort,popular,must,red,nation,point,miss,growth,throw
329001,nature,5930.9,432,third,Walker Inc,2.53 kg,Gray,Larson PLC,2022-11-21,3.7,mean,study,president,consider,finish,natural,sea,something,better,experience,claim,modern,author,instead,effect,hold,simple,fly,main,small
925506,benefit,281.19,355,chair,"Robinson, Walters and Campbell",34.84 kg,DarkOliveGreen,Price Group,2022-12-22,2.6,pattern,try,worry,government,others,human,keep,live,wall,other,work,cup,six,understand,control,throughout,trouble,all,itself,at
448746,order,8783.01,65,have,Ross-Wilson,33.78 kg,Linen,Shaw and Sons,2022-03-21,4.9,stand,knowledge,discuss,hundred,oil,theory,cover,role,especially,ready,girl,above,society,million,deal,trial,mission,age,beautiful,their
392966,population,4657.69,40,push,"Hall, Esparza and Wood",24.8 kg,Snow,Murray Ltd,2021-12-20,1.8,catch,any,mother,election,pretty,seat,south,consider,situation,how,trial,program,manage,eight,bit,per,page,reality,company,day
